Kind,Name,AvgLineComment,AvgLineCode,AltCountLineCode,AltCountLineComment,CountClassDerived,CountClassCoupled,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion
Public Const Function,"AString::Ptr",,,1,0,,,,,
Private Function,"AString::ReAlloc",,,9,1,,,,,
Private Function,"AString::ReAlloc2",,,9,1,,,,,
Public Function,"AString::ReleaseBuf_CalcLen",,,6,0,,,,,
Public Function,"AString::ReleaseBuf_SetEnd",,,1,0,,,,,
Public Function,"AString::ReleaseBuf_SetLen",,,1,0,,,,,
Public Function,"AString::RemoveChar",,,23,0,,,,,
Public Function,"AString::Replace",,,15,4,,,,,
Public Function,"AString::Replace",,,19,5,,,,,
Public Function,"AString::ReplaceOneCharAtPos",,,1,0,,,,,
Public Const Function,"AString::ReverseFind",,,14,1,,,,,
Public Const Function,"AString::ReverseFind_Dot",,,1,0,,,,,
Public Const Function,"AString::ReverseFind_PathSepar",,,15,0,,,,,
Public Const Function,"AString::RightPtr",,,1,0,,,,,
Public Function,"AString::SetFrom",,,14,1,,,,,
Public Function,"AString::SetFromWStr_if_Ascii",,,27,0,,,,,
Public Function,"AString::SetFrom_CalcLen",,,8,1,,,,,
Private Function,"AString::SetStartLen",,,7,0,,,,,
Public Function,"AString::Trim",,,5,0,,,,,
Public Function,"AString::TrimLeft",,,16,0,,,,,
Public Function,"AString::TrimRight",,,16,0,,,,,
Public Const Function,"AString::operator const char *",,,1,0,,,,,
Public Function,"AString::operator+=",,,8,0,,,,,
Public Function,"AString::operator+=",,,11,0,,,,,
Public Function,"AString::operator+=",,,7,0,,,,,
Public Function,"AString::operator=",,,16,0,,,,,
Public Function,"AString::operator=",,,14,0,,,,,
Public Function,"AString::operator=",,,14,0,,,,,
Public Function,"AString::~AString",,,1,0,,,,,
File,"Add2PNG.h",0,0,20,0,,,,,
Function,"AddBitfield",,,16,0,,,,,
Static Function,"AddButton",,,31,0,,,,,
Function,"AddComboItems",,,14,0,,,,,
Function,"AddCommandLineWildcardToCensor",,,6,0,,,,,
Static Function,"AddDigests",,,10,0,,,,,
Function,"AddDummyChars",,,230,24,,,,,
Function,"AddHashBundleRes",,,51,0,,,,,
Function,"AddHashHexToString",,,27,0,,,,,
Static Function,"AddHashResString",,,8,0,,,,,
Static Function,"AddHashString",,,9,0,,,,,
Static Function,"AddHexToString",,,6,0,,,,,
Static Function,"AddIconExt",,,8,0,,,,,
Static Function,"AddInfoFileName",,,5,0,,,,,
Static Function,"AddLagePagesSwitch",,,5,0,,,,,
Function,"AddLangString",,,4,0,,,,,
Function,"AddLangString",,,1,0,,,,,
Static Function,"AddMessageToString",,,9,0,,,,,
Static Function,"AddMinuses",,,5,0,,,,,
Static Function,"AddName",,,11,0,,,,,
Function,"AddNameSet",,,10,0,,,,,
Static Function,"AddNameToCensor",,,15,0,,,,,
Static Function,"AddNameToCensor",,,20,4,,,,,
Static Function,"AddNewLineString",,,5,0,,,,,
File,"AddPNG.h",0,0,22,0,,,,,
Function,"AddPartition",,,49,5,,,,,
Static Function,"AddPathToMessage",,,5,0,,,,,
Static Function,"AddProp",,,6,0,,,,,
Static Function,"AddProp",,,7,0,,,,,
Static Function,"AddProp",,,6,0,,,,,
Static Function,"AddProp",,,4,0,,,,,
Static Function,"AddPropValueToSum",,,12,0,,,,,
Static Function,"AddPropertyString",,,33,4,,,,,
Static Function,"AddRenamePair",,,23,0,,,,,
Static Function,"AddSizePair",,,16,1,,,,,
Static Function,"AddSizeValue",,,4,0,,,,,
Static Function,"AddSizeValuePair",,,13,0,,,,,
Static Function,"AddSpaces_if_Positive",,,5,0,,,,,
Function,"AddString",,,11,0,,,,,
Function,"AddSumtPartition",,,117,11,,,,,
Function,"AddSumtTree",,,45,5,,,,,
Static Function,"AddSwitchWildcardsToCensor",,,59,0,,,,,
Static Function,"AddToCensorFromListFile",,,23,1,,,,,
Static Function,"AddToCensorFromNonSwitchesStrings",,,38,3,,,,,
Function,"AddToCensorFromNonSwitchesStrings",,,6,2,,,,,
Function,"AddToGivenSet",,,60,0,,,,,
Function,"AddToPrintString",,,20,1,,,,,
Function,"AddToSet",,,4,0,,,,,
Function,"AddToTreeList",,,22,0,,,,,
Function,"AddTreeSamples",,,106,2,,,,,
Function,"AddTreeToPartitionCounters",,,29,0,,,,,
Function,"AddTwoMatrices",,,11,0,,,,,
Static Function,"AddUInt32ToString",,,6,0,,,,,
Function,"AddUniqueString",,,7,0,,,,,
Function,"AddUniqueStringToHead",,,9,0,,,,,
Function,"AddUniqueStringToHeadOfList",,,9,0,,,,,
Static Function,"AddValuePair",,,11,0,,,,,
Static Function,"AddValuePair",,,9,0,,,,,
Static Function,"AddValuePair1",,,7,0,,,,,
Function,"AddValuePair2",,,15,0,,,,,
Function,"AddVolumeItems",,,11,3,,,,,
Function,"Add_Messsage_Pre_ArcType",,,8,0,,,,,
File,"Aes.c",0,19,247,5,,,,,
File,"Aes.h",0,0,17,11,,,,,
Function,"AesCbc_Decode",,,20,0,,,,,
Function,"AesCbc_Encode",,,15,0,,,,,
Function,"AesCbc_Init",,,6,0,,,,,
Function,"AesCtr_Code",,,18,0,,,,,
Function,"AesGenTables",,,45,0,,,,,
Static Function,"Aes_Decode",,,20,0,,,,,
Static Function,"Aes_Encode",,,22,0,,,,,
Function,"Aes_SetKey_Dec",,,16,0,,,,,
Function,"Aes_SetKey_Enc",,,20,0,,,,,
File,"Agent.cpp",2,25,1538,135,,,,,
File,"Agent.h",33,619,260,15,,,,,
File,"AgentOut.cpp",1,29,557,14,,,,,
File,"AgentProxy.cpp",2,24,581,46,,,,,
File,"AgentProxy.h",0,32,120,18,,,,,
Function,"Agglomerative_criterion",,,6,1,,,,,
File,"AlignedDistanceMeasureCalculator.cpp",2,9,57,24,,,,,
File,"AlignedDistanceMeasureCalculator.h",0,3,31,17,,,,,
Function,"AlignedMalloc",,,15,3,,,,,
Function,"AlignedSafeFree",,,12,2,,,,,
File,"Aligned_InternalDMCalculator.cpp",9,11,37,34,,,,,
File,"Aligned_InternalDMCalculator.h",0,1,22,10,,,,,
File,"Alloc.c",0,4,267,18,,,,,
File,"Alloc.h",0,0,15,2,,,,,
Function,"AllocCharacters",,,84,3,,,,,
Function,"AllocMatrix",,,7,0,,,,,
Function,"AllocPartCtr",,,54,2,,,,,
Static Function,"AllocRefs",,,7,0,,,,,
Function,"AllocTaxa",,,87,13,,,,,
Function,"AllocTreeCtr",,,8,0,,,,,
Static Function,"AllocUnits",,,14,0,,,,,
Static Function,"AllocUnits",,,14,0,,,,,
Static Function,"AllocUnitsRare",,,25,0,,,,,
Static Function,"AllocUnitsRare",,,25,0,,,,,
Function,"Alloc_Bip",,,19,0,,,,,
Function,"AllocateBestChainVariables",,,22,4,,,,,
Function,"AllocateCppEvents",,,16,0,,,,,
Function,"AllocateFixedTree",,,57,4,,,,,
Function,"AllocateMove",,,102,3,,,,,
Function,"AllocateNormalParams",,,72,5,,,,,
Function,"AllocateParameterSamples",,,26,0,,,,,
Function,"AllocatePolyTree",,,47,5,,,,,
Function,"AllocatePolyTreePartitions",,,15,4,,,,,
Function,"AllocatePolyTreeRelClockParams",,,28,5,,,,,
Function,"AllocateSquareComplexMatrix",,,22,0,,,,,
Function,"AllocateSquareDoubleMatrix",,,22,0,,,,,
Function,"AllocateSquareIntegerMatrix",,,21,0,,,,,
Function,"AllocateTree",,,48,4,,,,,
Function,"AllocateTreeParams",,,329,39,,,,,
Function,"AllocateTreePartitions",,,22,5,,,,,
File,"AnalyzerFactory.cpp",1,8,48,10,,,,,
File,"AnalyzerFactory.h",0,9,36,10,,,,,
File,"AnalyzerType.cpp",0,4,16,10,,,,,
File,"AnalyzerType.h",0,28,68,16,,,,,
File,"ApmHandler.cpp",1,36,253,28,,,,,
File,"App.cpp",1,17,752,107,,,,,
File,"App.h",3,151,278,34,,,,,
File,"AppState.h",0,55,79,1,,,,,
Function,"AppendRelaxedBranch",,,24,0,,,,,
File,"ArHandler.cpp",3,123,705,55,,,,,
File,"ArchiveCommandLine.cpp",0,29,1131,34,,,,,
File,"ArchiveCommandLine.h",0,13,111,5,,,,,
File,"ArchiveExports.cpp",0,13,130,2,,,,,
File,"ArchiveExtractCallback.cpp",2,30,1262,150,,,,,
File,"ArchiveExtractCallback.h",24,1082,250,9,,,,,
File,"ArchiveFolder.cpp",0,25,29,8,,,,,
File,"ArchiveFolderOpen.cpp",0,8,80,41,,,,,
File,"ArchiveFolderOut.cpp",6,25,258,58,,,,,
File,"ArchiveName.cpp",0,20,70,2,,,,,
File,"ArchiveName.h",0,0,7,1,,,,,
File,"ArchiveOpenCallback.cpp",0,15,125,5,,,,,
File,"ArchiveOpenCallback.h",8,103,82,7,,,,,
Static Function,"Archive_GetArcBoolProp",,,11,0,,,,,
Static Function,"Archive_GetArcProp_Int",,,16,0,,,,,
Static Function,"Archive_GetArcProp_UInt",,,16,0,,,,,
Function,"Archive_GetItemBoolProp",,,11,0,,,,,
Static Function,"Archive_GetItem_Size",,,18,0,,,,,
Function,"Archive_IsItem_AltStream",,,4,0,,,,,
Function,"Archive_IsItem_Aux",,,4,0,,,,,
Function,"Archive_IsItem_Deleted",,,4,0,,,,,
Function,"Archive_IsItem_Dir",,,4,0,,,,,
Function,"AreBitfieldsEqual",,,10,0,,,,,
Function,"AreDoublesEqual",,,7,0,,,,,
Static Function,"AreEqualNames",,,9,0,,,,,
Static Function,"AreSameMethodNames",,,12,0,,,,,
Function,"AreTopologiesSame",,,48,4,,,,,
Function,"AreTreesSame",,,58,4,,,,,
Function,"Are_Compatible",,,274,1,,,,,
Function,"ArithDecodeSymbol",,,8,0,,,,,
Function,"ArithEncodeSymbol",,,5,0,,,,,
File,"ArjHandler.cpp",4,116,807,43,,,,,
Function,"AssignHeaderSymbols",,,12,1,,,,,
Function,"AssignSequenceSymbols",,,84,12,,,,,
Function,"Assign_State",,,32,0,,,,,
Function,"Assign_State_With_Ambiguity",,,38,1,,,,,
Function,"AttemptSwap",,,566,38,,,,,
File,"AutoPtr.h",0,8,30,2,,,,,
Function,"AutoRenamePath",,,24,0,,,,,
Function,"AutoResetEvent_Create",,,2,0,,,,,
Function,"AutoResetEvent_CreateNotSignaled",,,2,0,,,,,
Function,"AutodGamma",,,47,7,,,,,
Function,"AutotuneDirichlet",,,14,0,,,,,
Function,"AutotuneMultiplier",,,14,0,,,,,
Function,"AutotuneSlider",,,14,0,,,,,
File,"BIONJ.c",3,20,355,326,,,,,
File,"BIONJ.h",0,0,32,36,,,,,
Function,"BMEaddSpecies",,,62,17,,,,,
Function,"BMEcalcDownAverage",,,14,0,,,,,
Function,"BMEcalcNewvAverages",,,20,6,,,,,
Function,"BMEcalcUpAverage",,,14,3,,,,,
Function,"BMEsplitEdge",,,31,4,,,,,
Function,"BMEtestEdge",,,11,0,,,,,
Function,"BMEupdateAveragesMatrix",,,28,8,,,,,
Function,"BOOLToBool",,,1,0,,,,,
File,"BZip2Const.h",0,0,37,2,,,,,
File,"BZip2Crc.cpp",0,6,19,2,,,,,
File,"BZip2Crc.h",0,9,25,1,,,,,
File,"BZip2Decoder.cpp",2,22,815,67,,,,,
File,"BZip2Decoder.h",0,111,168,11,,,,,
File,"BZip2Encoder.cpp",0,27,800,11,,,,,
File,"BZip2Encoder.h",0,74,188,5,,,,,
File,"BZip2Register.cpp",0,3,16,1,,,,,
Function,"BackSubstitutionRow",,,13,0,,,,,
Static Function,"Backward",,,33,0,,,,,
Function,"BalBak",,,86,19,,,,,
Function,"BalWFext",,,23,0,,,,,
Function,"BalWFint",,,11,0,,,,,
Function,"Balanc",,,244,27,,,,,
Static Function,"Base64ToBin",,,47,6,,,,,
File,"BatchCalculatorsAnalyzer.cpp",5,11,48,183,,,,,
File,"BatchCalculatorsAnalyzer.h",0,0,29,39,,,,,
File,"BatchDistanceCalculators.cpp",2,9,79,64,,,,,
File,"BatchDistanceCalculators.h",0,0,26,14,,,,,
File,"Bcj2.c",17,88,186,36,,,,,
File,"Bcj2.h",0,0,81,31,,,,,
File,"Bcj2Coder.cpp",2,24,494,45,,,,,
File,"Bcj2Coder.h",3,219,85,2,,,,,
Function,"Bcj2Dec_Decode",,,164,34,,,,,
Function,"Bcj2Dec_Init",,,11,0,,,,,
File,"Bcj2Enc.c",0,60,256,3,,,,,
Function,"Bcj2Enc_Encode",,,56,0,,,,,
Static Function,"Bcj2Enc_Encode_2",,,141,0,,,,,
Function,"Bcj2Enc_Init",,,19,0,,,,,
File,"Bcj2Register.cpp",0,4,15,1,,,,,
File,"BcjCoder.cpp",0,6,17,1,,,,,
File,"BcjCoder.h",0,16,21,1,,,,,
File,"BcjRegister.cpp",0,5,10,1,,,,,
Function,"BeagleNotLinked",,,4,0,,,,,
Function,"BeagleThreadsNotAvailable",,,4,0,,,,,
Function,"Bench",,,556,18,,,,,
File,"Bench.cpp",6,229,2604,64,,,,,
File,"Bench.h",0,1,43,1,,,,,
Function,"BenchCon",,,8,0,,,,,
File,"BenchCon.cpp",0,5,31,1,,,,,
File,"BenchCon.h",0,0,8,1,,,,,
Function,"Benchmark",,,58,3,,,,,
Function,"Benchmark",,,8,0,,,,,
File,"Benchmark.h",0,56,155,1,,,,,
File,"BenchmarkDialog.cpp",1,22,706,33,,,,,
File,"BenchmarkDialog.h",2,74,152,6,,,,,
File,"BenchmarkDialogRes.h",0,0,51,0,,,,,
File,"BenchmarkDialog_rc.cpp",7,36,175,21,,,,,
Function,"Best_pair",,,27,3,,,,,
Function,"BetaBreaks",,,22,0,,,,,
Function,"BetaCf",,,45,0,,,,,
Function,"BetaQuantile",,,64,4,,,,,
Function,"BigAlloc",,,17,0,,,,,
Function,"BigFree",,,10,0,,,,,
Function,"Bit",,,11,0,,,,,
File,"BitlDecoder.cpp",0,9,17,1,,,,,
File,"BitlDecoder.h",0,18,99,12,,,,,
File,"BitlEncoder.h",0,39,50,2,,,,,
File,"BitmDecoder.h",0,13,59,16,,,,,
File,"BitmEncoder.h",0,6,44,1,,,,,
File,"Blake2.h",0,0,27,10,,,,,
File,"Blake2s.c",1,16,164,31,,,,,
Static Function,"Blake2s_Compress",,,47,1,,,,,
Static Function,"Blake2s_Final",,,10,0,,,,,
Function,"Blake2s_Init0",,,12,0,,,,,
Static Function,"Blake2s_Update",,,20,0,,,,,
Function,"Blake2sp_Final",,,14,0,,,,,
Function,"Blake2sp_Init",,,8,0,,,,,
Static Function,"Blake2sp_Init_Spec",,,7,10,,,,,
Function,"Blake2sp_Update",,,17,0,,,,,
Function,"BlockSort",,,148,2,,,,,
Function,"BoolToBOOL",,,1,0,,,,,
Function,"BoolToInt",,,1,0,,,,,
Function,"BoolToVARIANT_BOOL",,,1,0,,,,,
File,"Bra.c",0,30,121,2,,,,,
File,"Bra.h",0,0,13,44,,,,,
File,"Bra86.c",0,70,73,2,,,,,
File,"BraIA64.c",0,48,57,2,,,,,
Static Function,"BraState_Code",,,72,0,,,,,
Static Function,"BraState_Free",,,4,0,,,,,
Static Function,"BraState_Init",,,8,0,,,,,
Function,"BraState_SetFromMethod",,,24,0,,,,,
Static Function,"BraState_SetProps",,,40,0,,,,,
File,"BranchMisc.cpp",0,6,16,1,,,,,
File,"BranchMisc.h",0,16,23,1,,,,,
File,"BranchRegister.cpp",0,16,29,1,,,,,
Function,"Branch_length",,,6,1,,,,,
Function,"Branch_lengthMVR",,,21,0,,,,,
File,"BrowseDialog.h",0,0,12,11,,,,,
Static Function,"Bt2_MatchFinder_GetMatches",,,10,0,,,,,
Static Function,"Bt2_MatchFinder_Skip",,,12,0,,,,,
Function,"Bt3Zip_MatchFinder_GetMatches",,,10,0,,,,,
Function,"Bt3Zip_MatchFinder_Skip",,,12,0,,,,,
Static Function,"Bt3_MatchFinder_GetMatches",,,28,0,,,,,
Static Function,"Bt3_MatchFinder_Skip",,,16,0,,,,,
Static Function,"Bt4_MatchFinder_GetMatches",,,43,0,,,,,
Static Function,"Bt4_MatchFinder_Skip",,,17,0,,,,,
Static Function,"BtFillBlock",,,21,0,,,,,
Static Function,"BtGetMatches",,,69,0,,,,,
Function,"BtThreadFunc",,,25,0,,,,,
Static Function,"BtThreadFunc2",,,10,0,,,,,
Function,"BuildConstraintTree",,,177,26,,,,,
Function,"BuildExhaustiveSearchTree",,,50,8,,,,,
Function,"BuildParsTrees",,,43,4,,,,,
Function,"BuildRandomRTopology",,,48,3,,,,,
Function,"BuildRandomUTopology",,,45,3,,,,,
Function,"BuildStepwiseTree",,,66,6,,,,,
File,"BwtSort.c",3,90,437,24,,,,,
File,"BwtSort.h",0,0,13,4,,,,,
File,"ByteSwap.cpp",0,30,70,1,,,,,
File,"Bz2Handler.cpp",1,107,358,4,,,,,
Struct,"CAgUpCallbackImp",0,3,12,0,0,3,12,1,80
Public Function,"CAgUpCallbackImp::CAgUpCallbackImp",,,2,0,,,,,
Public Virtual Function,"CAgUpCallbackImp::ShowDeleteFile",,,4,0,,,,,
Class,"CAgent",0,25,829,35,0,48,83,2,91
Public Virtual Function,"CAgent::AddRef",,,113,2,,,,,
Public Virtual Function,"CAgent::BindToRootFolder",,,11,1,,,,,
Public Function,"CAgent::CAgent",,,7,0,,,,,
Public Const Function,"CAgent::CanUpdate",,,12,1,,,,,
Public Virtual Function,"CAgent::Close",,,6,0,,,,,
Public Function,"CAgent::CommonUpdate",,,9,0,,,,,
Public Function,"CAgent::CreateFolder",,,44,0,,,,,
Public Virtual Function,"CAgent::DeleteItems",,,39,2,,,,,
Public Virtual Function,"CAgent::DoOperation",,,181,3,,,,,
Public Virtual Function,"CAgent::DoOperation2",,,8,0,,,,,
Public Virtual Function,"CAgent::Extract",,,33,5,,,,,
Public Const Function,"CAgent::GetArc",,,1,0,,,,,
Public Virtual Function,"CAgent::GetArcNumLevels",,,5,0,,,,,
Public Virtual Function,"CAgent::GetArcNumProps",,,4,0,,,,,
Public Virtual Function,"CAgent::GetArcNumProps2",,,4,0,,,,,
Public Virtual Function,"CAgent::GetArcProp",,,62,0,,,,,
Public Virtual Function,"CAgent::GetArcProp2",,,4,0,,,,,
Public Virtual Function,"CAgent::GetArcPropInfo",,,4,0,,,,,
Public Virtual Function,"CAgent::GetArcPropInfo2",,,4,0,,,,,
Public Const Function,"CAgent::GetArchive",,,1,0,,,,,
Public Const Function,"CAgent::GetErrorMessage",,,39,0,,,,,
Public Virtual Function,"CAgent::GetNumberOfProperties",,,6,0,,,,,
Public Virtual Function,"CAgent::GetPropertyInfo",,,10,0,,,,,
Public Const Function,"CAgent::GetTypeOfArc",,,6,0,,,,,
Public Const Function,"CAgent::IsThereReadOnlyArc",,,12,0,,,,,
Public Function,"CAgent::KeepModeForNextOpen",,,1,0,,,,,
Public Virtual Function,"CAgent::Open",,,49,10,,,,,
Public Virtual Function,"CAgent::QueryInterface",,,6,0,,,,,
Public Virtual Function,"CAgent::ReOpen",,,27,0,,,,,
Private Function,"CAgent::ReadItems",,,28,6,,,,,
Public Virtual Function,"CAgent::Release",,,113,2,,,,,
Public Function,"CAgent::RenameItem",,,53,3,,,,,
Public Virtual Function,"CAgent::SetFiles",,,9,0,,,,,
Public Virtual Function,"CAgent::SetFolder",,,23,0,,,,,
Public Virtual Function,"CAgent::SetProperties",,,11,0,,,,,
Public Function,"CAgent::UpdateOneFile",,,52,2,,,,,
Public Function,"CAgent::~CAgent",,,7,0,,,,,
Class,"CAgentFolder",3,34,1460,161,0,32,126,2,74
Public Virtual Function,"CAgentFolder::AddRef",,,192,12,,,,,
Public Virtual Function,"CAgentFolder::AreAltStreamsSupported",,,26,0,,,,,
Public Virtual Function,"CAgentFolder::BindToAltStreams",,,39,4,,,,,
Public Virtual Function,"CAgentFolder::BindToAltStreams",,,23,0,,,,,
Public Function,"CAgentFolder::BindToAltStreams_Internal",,,11,14,,,,,
Public Virtual Function,"CAgentFolder::BindToFolder",,,18,0,,,,,
Public Virtual Function,"CAgentFolder::BindToFolder",,,16,0,,,,,
Public Function,"CAgentFolder::BindToFolder_Internal",,,8,26,,,,,
Public Virtual Function,"CAgentFolder::BindToParentFolder",,,36,5,,,,,
Public Function,"CAgentFolder::CAgentFolder",,,6,2,,,,,
Public Function,"CAgentFolder::CommonUpdateOperation",,,155,48,,,,,
Public Virtual Function,"CAgentFolder::CompareItems",,,142,1,,,,,
Public Function,"CAgentFolder::CompareItems2",,,126,1,,,,,
Public Function,"CAgentFolder::CopyFrom",,,15,1,,,,,
Public Function,"CAgentFolder::CopyFromFile",,,12,0,,,,,
Public Function,"CAgentFolder::CopyTo",,,25,0,,,,,
Public Function,"CAgentFolder::CreateFileA",,,4,1,,,,,
Public Function,"CAgentFolder::CreateFolder",,,18,0,,,,,
Public Function,"CAgentFolder::Delete",,,7,0,,,,,
Public Virtual Function,"CAgentFolder::Extract",,,64,8,,,,,
Public Virtual Function,"CAgentFolder::GetAgentFolder",,,5,0,,,,,
Public Virtual Function,"CAgentFolder::GetFolderArcProps",,,6,0,,,,,
Public Virtual Function,"CAgentFolder::GetFolderProperty",,,48,2,,,,,
Public Virtual Function,"CAgentFolder::GetFolderPropertyInfo",,,1,0,,,,,
Public Const Function,"CAgentFolder::GetFullPrefix",,,10,0,,,,,
Public Virtual Function,"CAgentFolder::GetItemName",,,30,0,,,,,
Public Virtual Function,"CAgentFolder::GetItemPrefix",,,23,1,,,,,
Public Virtual Function,"CAgentFolder::GetItemSize",,,39,0,,,,,
Public Const Function,"CAgentFolder::GetName",,,12,0,,,,,
Public Virtual Function,"CAgentFolder::GetNumRawProps",,,8,0,,,,,
Public Virtual Function,"CAgentFolder::GetNumberOfFolderProperties",,,5,0,,,,,
Public Virtual Function,"CAgentFolder::GetNumberOfItems",,,13,0,,,,,
Public Virtual Function,"CAgentFolder::GetNumberOfProperties",,,12,11,,,,,
Public Virtual Function,"CAgentFolder::GetParent",,,4,1,,,,,
Public Function,"CAgentFolder::GetPathParts",,,7,0,,,,,
Public Const Function,"CAgentFolder::GetPrefix",,,52,1,,,,,
Public Virtual Function,"CAgentFolder::GetProperty",,,104,10,,,,,
Public Virtual Function,"CAgentFolder::GetPropertyInfo",,,32,12,,,,,
Public Virtual Function,"CAgentFolder::GetRawProp",,,36,0,,,,,
Public Virtual Function,"CAgentFolder::GetRawPropInfo",,,7,0,,,,,
Public Const Function,"CAgentFolder::GetRealIndex",,,31,0,,,,,
Public Const Function,"CAgentFolder::GetRealIndices",,,43,0,,,,,
Public Virtual Function,"CAgentFolder::GetStream",,,27,0,,,,,
Public Function,"CAgentFolder::Init",,,13,2,,,,,
Private Function,"CAgentFolder::LoadFolder",,,34,0,,,,,
Public Virtual Function,"CAgentFolder::LoadItems",,,16,0,,,,,
Public Virtual Function,"CAgentFolder::QueryInterface",,,14,1,,,,,
Public Virtual Function,"CAgentFolder::Release",,,192,12,,,,,
Public Function,"CAgentFolder::Rename",,,9,0,,,,,
Public Function,"CAgentFolder::SetProperty",,,5,2,,,,,
Struct,"CAlignedMidBuffer",0,2,28,1,1,0,4,0,25
Public Function,"CAlignedMidBuffer::AllocAlignedMask",,,5,0,,,,,
Public Function,"CAlignedMidBuffer::CAlignedMidBuffer",,,1,0,,,,,
Public Function,"CAlignedMidBuffer::~CAlignedMidBuffer",,,1,0,,,,,
Class,"CApp",0,11,1017,96,0,27,83,0,95
